Frame,Variance
0,0.0002349539
1,0.0002402908
2,0.0002472608
3,0.0002394175
4,0.0002309865
5,0.0002551313
6,0.000274646
7,0.0002453683
8,0.000263537
9,0.0002667472
10,0.0002278354
11,0.0002411444
12,0.0002432726
13,0.0002487117
14,0.0002486645
15,0.0002588939
16,0.0002797127
17,0.0002717435
18,0.0002869274
19,0.0002566942
20,0.0003034647
21,0.0003127497
22,0.0003144632
23,0.0003008812
24,0.0003019337
25,0.0002985099
26,0.0002229623
27,0.0001983595
28,0.0002385577
29,0.0002864701
30,0.0002530567
31,0.0002732824
32,0.0002551342
33,0.0002736677
34,0.0002333976
35,0.000181844
36,0.0002232818
37,0.0002037788
38,0.0001674818
39,0.0001740022
40,0.0001689132
41,0.0001896371
42,0.0001600461
43,0.0001484843
44,0.0001624552
45,0.0001556162
46,0.0001545671
47,0.0001535168
48,0.0001314186
49,0.000102766
50,0.0001222693
51,0.0001053701
52,9.758413E-05
53,0.0001305788
54,0.0001239575
55,0.00013569
56,0.0001056607
57,0.0001173871
58,0.0001137684
59,0.0001200201
60,0.0001348335
61,0.000147913
62,0.0001250746
63,0.0002189773
64,0.0001909906
65,0.0001898523
66,0.0001949108
67,0.0001687725
68,0.0001723312
69,0.0001686177
70,0.0001234004
71,0.0001511357
72,0.0002136129
73,0.0001495704
74,0.0001289436
75,0.0001290591
76,0.0001206211
77,0.0001949617
78,0.0001979434
79,0.0001836734
80,0.0001461185
81,0.0001776857
82,0.0001285136
83,0.0001242287
84,8.471662E-05
85,8.764693E-05
86,0.0001710547
87,0.0001094276
88,9.186324E-05
89,0.0001606652
90,0.0001034994
91,0.0001332897
92,0.0001707573
93,0.0001753666
94,0.0001385474
95,0.0001402866
96,0.0001746522
97,0.000146411
98,0.0001532704
99,0.0001290495
100,0.0001241736
101,0.0001841062
102,0.0001585544
103,0.0001595516
104,0.0001737667
105,0.0001665336
106,0.0001513416
107,0.0001435633
108,0.0001543564
109,0.0001701234
110,0.0001840745
111,0.0001690435
112,0.0001997951
113,0.0001842746
114,0.0001620412
115,0.0001672223
116,0.0002041919
117,0.0001856919
118,0.0001953214
119,0.0001598856
120,0.0002139152
121,0.0001818631
122,0.0002001257
123,0.0002521881
124,0.0002577926
125,0.0002341331
126,0.0002206811
127,0.0002443069
128,0.0002127488
129,0.0002200317
130,0.0002259593
131,0.0002287992
132,0.0002376901
133,0.0001597602
134,0.0001080797
135,0.0001200693
136,0.0001529257
137,0.0001806698
138,0.0001218602
139,0.0001069031
140,0.0002147528
141,9.519435E-05
142,0.0001168496
143,0.0001755494
144,0.0001413517
145,0.0001262309
146,0.0001135959
147,8.72328E-05
148,0.0001246829
149,0.0001048059
150,8.512258E-05
151,8.301093E-05
152,7.541134E-05
153,8.216599E-05
154,8.409951E-05
155,7.223942E-05
156,5.585548E-05
157,5.574552E-05
158,4.879774E-05
159,6.920571E-05
160,6.166758E-05
161,5.295108E-05
162,8.570879E-05
163,6.484138E-05
164,7.067737E-05
165,8.861456E-05
166,3.828386E-05
167,4.318778E-05
168,6.019636E-05
169,6.033191E-05
170,5.381558E-05
171,5.371479E-05
172,5.966853E-05
173,5.425904E-05
174,5.029039E-05
175,5.807633E-05
176,4.582167E-05
177,4.433144E-05
178,4.481028E-05
179,7.471136E-05
180,8.099961E-05
181,0.0001031181
182,8.097875E-05
183,0.0001021221
184,9.318984E-05
185,9.60346E-05
186,0.0001001307
187,0.0001031854
188,0.0001204323
189,0.000110079
190,9.823953E-05
191,7.971303E-05
192,9.166207E-05
193,7.712546E-05
194,8.457577E-05
195,0.0001070007
196,0.0001060237
197,0.0001022333
198,0.0001104097
199,0.000116348
200,0.0001063176
201,0.0001053001
202,0.000126267
203,9.43925E-05
204,9.832978E-05
205,0.0001033024
206,8.141618E-05
207,0.0001023902
208,8.545545E-05
209,0.0001077722
210,9.181165E-05
211,7.799442E-05
212,7.114469E-05
213,7.512557E-05
214,7.299226E-05
215,9.142271E-05
216,7.671068E-05
217,8.191551E-05
218,9.541019E-05
219,8.914824E-05
220,9.214954E-05
221,0.0001132027
222,0.0001099574
223,0.0001084864
224,9.897705E-05
225,9.475926E-05
226,9.236826E-05
227,8.429529E-05
228,0.000105389
229,0.0001043968
230,0.0001157945
231,0.0001335609
232,0.0001535637
233,0.0001526563
234,0.000146536
235,0.0001438376
236,0.0001479811
237,0.0001555277
238,0.0001876703
239,0.0002069738
240,0.000224063
241,0.0002291465
242,0.0002131858
243,0.00023709
244,0.0002488518
245,0.0003713871
246,0.0003966065
247,0.0003967877
248,0.0004056449
249,0.0003444254
250,0.0002428418
251,0.0002948195
252,0.0003034761
253,0.0002954375
254,0.0002736792
255,0.0002826932
256,0.0002774946
257,0.0002543622
258,0.0002443715
259,0.0002383183
260,0.0002314438
261,0.0002291668
262,0.0002186079
263,0.0002040597
264,0.000216403
265,0.0002127507
266,0.0002738677
267,0.0002792245
268,0.0002954825
269,0.0002936026
270,0.0003182368
271,0.0002937257
272,0.0002628657
273,0.0003630846
274,0.0003421658
275,0.0003410245
276,0.0003304365
277,0.0003938035
278,0.0003777357
279,0.0003534293
280,0.000303148
281,0.0002598774
282,0.0003327337
283,0.0003101283
284,0.0002598901
285,0.0002518808
286,0.0002380198
287,0.0001956719
288,0.000205229
289,0.0002019752
290,0.0002099381
291,0.0002291296
292,0.0002420745
293,0.0002636214
294,0.0003383732
295,0.0002786383
296,0.0003557263
297,0.0003132656
298,0.000353798
299,0.0004381879
300,0.0003795506
301,0.0004510446
302,0.000298473
303,0.0003179367
304,0.0002930017
305,0.000168387
306,0.0002519705
307,0.0002557761
308,0.0003053462
309,0.000400595
310,0.0005954118
311,0.0005647606
312,0.0003847905
313,0.0003801122
314,0.0003822372
315,0.0003860851
316,0.00048051
317,0.0005425285
318,0.0006565427
319,0.0004663376
320,0.0004650415
321,0.0004833114
322,0.0005728573
323,0.0005953423
324,0.0005842033
325,0.0005400732
326,0.0004051489
327,0.0003982743
328,0.0003723579
329,0.0003495047
330,0.0004088538
331,0.0003796821
332,0.0003270774
333,0.000238503
334,0.0002849964
335,0.000269974
336,0.0002335716
337,0.0002639611
338,0.0002581483
339,0.0002496166
340,0.0001589239
341,0.0001535053
342,0.0001489246
343,0.0001540152
344,0.0001517527
345,0.0001503378
346,0.0001278465
347,0.0001230706
348,0.0001177669
349,0.0001247151
350,0.000117807
351,0.0001340697
352,0.0001429
353,0.0001459035
354,0.0001280616
355,0.000143288
356,0.0001553186
357,0.000153938
358,0.0001674215
359,0.0002157202
360,0.0002051289
361,0.0002231692
362,0.000221669
363,0.0002198192
