Frame,Variance
0,0.001294072
1,0.00116414
2,0.001185993
3,0.001153809
4,0.00113634
5,0.001187883
6,0.001406204
7,0.001125762
8,0.001161173
9,0.001135766
10,0.001050854
11,0.001072867
12,0.001081867
13,0.001115075
14,0.001187768
15,0.001203748
16,0.001194281
17,0.001207999
18,0.001220942
19,0.001155556
20,0.001184938
21,0.001227809
22,0.001217567
23,0.001165508
24,0.00114971
25,0.001210956
26,0.001272085
27,0.001302971
28,0.001268578
29,0.001175247
30,0.001164102
31,0.00115739
32,0.00109315
33,0.001107603
34,0.001071815
35,0.000878696
36,0.0009831842
37,0.000949908
38,0.0008878623
39,0.0009217996
40,0.0009689989
41,0.0008302712
42,0.0009323555
43,0.0007561272
44,0.0007568906
45,0.0007000227
46,0.000762058
47,0.0006818649
48,0.0007552978
49,0.0005924934
50,0.0006893143
51,0.0006372934
52,0.0006144016
53,0.0006474213
54,0.0006421731
55,0.0006786095
56,0.0006056747
57,0.0006423412
58,0.0006200531
59,0.0006073416
60,0.0006422834
61,0.0006221232
62,0.0006210472
63,0.0009055524
64,0.0007791608
65,0.0008373546
66,0.0007828156
67,0.0007996379
68,0.0008076916
69,0.0008092612
70,0.0008038272
71,0.000751292
72,0.0007581927
73,0.0007555518
74,0.0008220632
75,0.0007122058
76,0.0008577892
77,0.0008872636
78,0.0009021803
79,0.0008480708
80,0.0008925656
81,0.0008608389
82,0.0007412094
83,0.0008038868
84,0.0006948283
85,0.0007320828
86,0.0007622149
87,0.000628956
88,0.0006879368
89,0.000778114
90,0.0007810291
91,0.0008954169
92,0.00088964
93,0.0008766261
94,0.0008361796
95,0.0008662723
96,0.0009400334
97,0.0008533061
98,0.0007771092
99,0.0007306682
100,0.0008440911
101,0.0008578306
102,0.0008152362
103,0.0008826203
104,0.0008839444
105,0.0009611477
106,0.0009077481
107,0.0008854906
108,0.0009105076
109,0.0008681025
110,0.0008424803
111,0.0008119173
112,0.0009544472
113,0.0008792438
114,0.000912387
115,0.001001864
116,0.0008966891
117,0.0009610236
118,0.00102472
119,0.001012818
120,0.001040495
121,0.001180851
122,0.001109291
123,0.001135567
124,0.001163575
125,0.001116422
126,0.001219825
127,0.001208759
128,0.001312014
129,0.001288199
130,0.001386575
131,0.001509507
132,0.001591023
133,0.001255357
134,0.001021436
135,0.0009582386
136,0.001092028
137,0.0009240331
138,0.0009064713
139,0.0008002543
140,0.001112401
141,0.0008616396
142,0.0008025132
143,0.000875818
144,0.0009807555
145,0.0008021614
146,0.0008211799
147,0.0008299928
148,0.0009788109
149,0.0007714506
150,0.0007475062
151,0.0008449237
152,0.0004907052
153,0.0005908625
154,0.0006149705
155,0.0004231848
156,0.0004409245
157,0.0004590599
158,0.0003998258
159,0.0004070255
160,0.000347035
161,0.0006651983
162,0.0005362364
163,0.000337385
164,0.0004824406
165,0.0003382696
166,0.0003520849
167,0.0003228971
168,0.0003601789
169,0.0003300884
170,0.0003423665
171,0.0003427973
172,0.0003860325
173,0.0003796811
174,0.0003833477
175,0.0003617496
176,0.0002966763
177,0.0002745889
178,0.0002889738
179,0.0003503183
180,0.000388839
181,0.0004150733
182,0.0003581422
183,0.0004455895
184,0.0003684422
185,0.0004068337
186,0.0003829505
187,0.0004021252
188,0.0004238742
189,0.0003826744
190,0.0003760564
191,0.0005646105
192,0.0003394379
193,0.0006017078
194,0.0005525211
195,0.0003527116
196,0.0003405364
197,0.0003308965
198,0.0003404374
199,0.000347924
200,0.0003383064
201,0.0003396322
202,0.0003663046
203,0.000300321
204,0.0003146857
205,0.000290877
206,0.0004659076
207,0.0002907597
208,0.0002627289
209,0.0002704151
210,0.0002410916
211,0.0002039267
212,0.0002663126
