Frame,MSE
400,0.01903907
401,0.01891992
402,0.01938754
403,0.01896705
404,0.01912043
405,0.01925205
406,0.01928299
407,0.01936024
408,0.01905777
409,0.01900944
410,0.01907334
411,0.01897022
412,0.01918794
413,0.0189846
414,0.01941059
415,0.0189873
416,0.01901538
417,0.01955736
418,0.01902537
419,0.01924743
420,0.01938792
421,0.01934874
422,0.01916868
423,0.01915976
424,0.01907042
425,0.01922265
426,0.01918286
427,0.01918568
428,0.01936461
429,0.01939288
430,0.0193283
431,0.01924696
432,0.01929362
433,0.01920896
434,0.01918396
435,0.01921468
436,0.01913773
437,0.0191784
438,0.01919403
439,0.0196833
440,0.0199439
441,0.0203759
442,0.02021938
443,0.02021371
444,0.01990335
445,0.01977889
446,0.01922257
447,0.0191528
448,0.01911091
449,0.01907246
450,0.01923555
451,0.01962489
452,0.01960154
453,0.01985177
454,0.01957722
455,0.01960309
456,0.01948174
457,0.01942107
458,0.01931189
459,0.01935188
460,0.01933616
461,0.01923966
462,0.01926747
463,0.01949996
464,0.01939979
465,0.01932702
466,0.01939389
467,0.0192879
468,0.01917632
469,0.0191327
470,0.01913699
471,0.01923875
472,0.01906229
473,0.0190981
474,0.01912939
475,0.019211
476,0.01907778
477,0.01927933
478,0.01901643
479,0.01909544
480,0.01917287
481,0.01900792
482,0.01908246
483,0.01899141
484,0.01893912
485,0.01908632
486,0.0190702
487,0.0190707
488,0.01880217
489,0.01891031
490,0.01875061
491,0.01902076
492,0.01904101
493,0.01926928
494,0.01872872
495,0.01914491
496,0.01952045
497,0.01936026
498,0.01937199
499,0.01926523
500,0.01930282
501,0.01933839
502,0.01909657
503,0.0190605
504,0.01912893
505,0.01905364
506,0.01921678
507,0.01904745
508,0.01930879
509,0.01923091
510,0.01924676
511,0.01930402
512,0.01882423
513,0.018797
514,0.01899663
515,0.01915637
516,0.01934941
517,0.01917331
518,0.01896
519,0.01918142
520,0.0190758
521,0.01925167
522,0.01945027
523,0.01925414
524,0.0192602
525,0.01913414
526,0.01945288
527,0.01941896
528,0.01922657
529,0.01899572
530,0.01905853
531,0.01912368
532,0.01902965
533,0.0191376
534,0.01920768
535,0.01898812
536,0.01900019
537,0.01884492
538,0.01878415
539,0.01885694
540,0.01893156
541,0.01896605
