Frame,MSE
0,0
1,0.001048531
2,0.002759319
3,0.002766155
4,0.002222998
5,0.001839589
6,0.001721569
7,0.001661504
8,0.001396751
9,0.001258756
10,0.001170427
11,0.001136513
12,0.001105711
13,0.001118339
14,0.001113978
15,0.001019497
16,0.001002951
17,0.001011404
18,0.0009941509
19,0.0009839844
20,0.0009717189
21,0.0009601512
22,0.0009487056
23,0.0009307609
24,0.0009323912
25,0.0009184164
26,0.0009046088
27,0.0008963074
28,0.0008932411
29,0.0009054441
30,0.0009057312
31,0.0009034249
32,0.0008902334
33,0.0008820627
34,0.0008683536
35,0.000862456
36,0.0007776386
37,0.0007479495
38,0.0007273269
39,0.0007512731
40,0.0007521836
41,0.0007547979
42,0.000789719
43,0.0007190162
44,0.0007262356
45,0.0007316234
46,0.0007088543
47,0.0006757668
48,0.0006415808
49,0.0006133589
50,0.0005692897
51,0.0005608216
52,0.0005358431
53,0.0005252252
54,0.0004858773
55,0.0004749632
56,0.00048089
57,0.0004947996
58,0.0005151963
59,0.000476034
60,0.0004774694
61,0.0004829793
62,0.000489556
63,0.0004855093
64,0.0005096536
65,0.0004889555
66,0.0004474379
67,0.0004355242
68,0.0004270062
69,0.0004210933
70,0.0004148453
71,0.0004270452
72,0.0004225277
73,0.0004242333
74,0.0004212415
75,0.0004127969
76,0.0004088735
77,0.000396957
78,0.0003116745
79,0.0003087181
80,0.0003050246
81,0.0003166086
82,0.0002942773
83,0.0002660759
84,0.0002590232
85,0.0002228079
86,0.0002171814
87,0.0002735903
88,0.0002757574
89,0.0002162621
90,0.0002089952
91,0.0001860684
92,0.0001819264
93,0.0001720432
94,0.0001618405
95,0.0001612466
96,0.0001585926
97,0.0001595121
98,0.0001719392
99,0.0001626664
100,0.0001620872
101,0.000154135
102,0.0001577361
103,0.001204755
104,0.00198386
105,0.001799071
106,0.001262839
107,0.001306679
108,0.001219589
109,0.001117145
110,0.001101431
111,0.001138404
112,0.001097486
113,0.0009581718
114,0.0009103207
115,0.00120722
116,0.001184165
117,0.001345634
118,0.001610325
119,0.001676758
120,0.0012217
121,0.001542463
122,0.001390412
123,0.001175116
124,0.001211968
125,0.001412962
126,0.001028345
127,0.0009908978
128,0.0008134558
129,0.0007928906
130,0.0007551483
131,0.0007508287
132,0.0007370601
133,0.0006824233
134,0.0006451338
135,0.0006373958
136,0.0006056771
137,0.0006499311
138,0.0006663973
139,0.0006931503
140,0.000725618
141,0.0007929414
142,0.000770096
143,0.0007872287
144,0.0008198321
145,0.0008254902
146,0.0007843678
147,0.0008274531
148,0.001124305
149,0.001135784
150,0.001120526
151,0.001131727
152,0.001040713
153,0.0009573927
154,0.0007987985
155,0.0006579054
156,0.0006381084
157,0.0006293193
158,0.0006231928
159,0.0005717666
160,0.0005495784
161,0.0004960768
162,0.0004463428
163,0.0004262449
164,0.0004235124
165,0.0004246289
166,0.0004700711
167,0.0004407348
168,0.0004353017
169,0.0004178105
170,0.0003990816
171,0.0004108348
172,0.0004000264
173,0.0003894984
174,0.0003913398
175,0.0003817464
176,0.00038855
177,0.0003741416
178,0.0003573111
179,0.0003650053
180,0.0005035269
181,0.0004986359
182,0.0004760722
183,0.0004148743
184,0.0004077759
185,0.0003840201
186,0.0003626547
187,0.0003726138
188,0.0003710455
189,0.000354211
190,0.0003462659
191,0.0003328162
192,0.00033707
193,0.0003318146
194,0.0003238162
195,0.0003216981
196,0.0003054721
197,0.0002737176
198,0.000269844
199,0.0002690833
200,0.0002670344
201,0.0002682477
202,0.0002635851
203,0.0002578386
204,0.0002442631
205,0.0002372613
206,0.000234223
207,0.0002317614
208,0.0002259993
209,0.0002321466
210,0.0002418788
211,0.000225063
212,0.0002216538
213,0.0002259322
214,0.0002317835
215,0.0002285708
216,0.0002223017
217,0.0002221077
218,0.0002207093
219,0.0002310697
220,0.0002373168
221,0.0002405031
222,0.000243975
223,0.0002503108
224,0.0002443373
225,0.0002361948
226,0.0002326142
227,0.0002266732
228,0.0002262386
229,0.0002515565
230,0.0002667195
231,0.0002595424
232,0.0002530491
233,0.000289711
234,0.0002863884
235,0.0002473437
236,0.0002406898
237,0.0002332982
238,0.0002361884
239,0.0004422355
240,0.0003852111
241,0.0003467334
242,0.0003439411
243,0.0003538318
244,0.000368976
245,0.0003342301
246,0.0003109497
247,0.0003233314
248,0.0004780302
249,0.000625191
250,0.0005245646
251,0.00041494
252,0.0004002836
253,0.0003240055
254,0.0003717549
255,0.0004488682
256,0.0005121107
257,0.0004284833
258,0.0003602276
259,0.0003656487
260,0.0002994189
261,0.000350412
262,0.0003648144
263,0.0003587335
264,0.0003524351
265,0.0003741218
266,0.0003889865
267,0.0003543847
268,0.0003588269
269,0.0003701589
270,0.0003717472
271,0.0004643484
272,0.0004657232
273,0.0004767561
274,0.0004635296
275,0.0004477468
276,0.0004566824
277,0.0004951442
278,0.0004757171
279,0.0004884803
280,0.0004870389
281,0.0004460151
282,0.0004679038
283,0.000476373
284,0.0004864701
285,0.0006669227
286,0.0005815015
287,0.00038045
288,0.0003338252
289,0.0003620436
290,0.0004338626
291,0.0005885131
292,0.0003251193
293,0.0002841229
294,0.0003380714
295,0.0002570805
296,0.0002684463
297,0.0002449201
298,0.0002090582
299,0.0001844882
300,0.0001662041
301,0.0001776395
302,0.0001761737
303,0.0003177301
304,0.0003467819
305,0.0003506895
306,0.0003082997
307,0.0002061276
308,0.0002029889
309,0.0002003437
310,0.0002062738
311,0.0002121891
312,0.0002121099
313,0.0002354233
314,0.0002054826
315,0.0001965851
316,0.0002102567
317,0.0002075963
318,0.0002068356
319,0.0002009787
320,0.0001963811
321,0.0002185064
322,0.0002085526
323,0.0001957883
324,0.0001916734
325,0.0001944524
326,0.0001888547
327,0.0001811653
328,0.0001520599
329,0.0001420076
330,0.0001506877
331,0.000190171
332,0.000191384
333,0.0002514381
334,0.0001601734
335,0.0001431889
336,0.0001422778
337,0.0001443439
338,0.0001453052
339,0.0001461629
340,0.0001552436
341,0.0001530329
342,0.0001509166
343,0.0001524714
344,0.0001568641
345,0.0001598912
346,0.0001671808
347,0.0001853776
348,0.0001924665
349,0.0001940186
350,0.0001845286
351,0.0001833142
352,0.0001684888
353,0.0001664257
354,0.0001583074
355,0.0001539588
356,0.0001520294
357,0.000138962
358,0.0001447979
359,0.0001413714
360,0.0001553839
